Section,Filename,Title,Sample,Variables,Interpretation
Main-paper candidates,table_dm1_dataset_overview.csv,Table DM1. Dataset coverage for Dyevre-style variables,Patent-level Dyevre-style file,Coverage and missingness metrics,Shows feasibility and limits of variable construction.
Main-paper candidates,table_dm1_dataset_overview.tex,Table DM1. Dataset coverage (LaTeX),Same as DM1,Same as DM1,Paper-ready table.
Main-paper candidates,table_dm2_patent_variable_summary.csv,Table DM2. Summary statistics of constructed patent variables,Patent-level Dyevre-style file,Core Dyevre-style and empirical-driven measures,Benchmark moments for the combined variable family.
Main-paper candidates,table_dm2_patent_variable_summary.tex,Table DM2. Summary statistics (LaTeX),Same as DM2,Same as DM2,Paper-ready table.
Appendix descriptives,table_da1_paper_variable_crosswalk.csv,Table DA1. Dyevre paper variable crosswalk,Conceptual variable mapping,"Paper variable, constructed field, status, notes",Clarifies exact vs approximate vs unavailable constructs.
Appendix descriptives,table_da1_paper_variable_crosswalk.tex,Table DA1. Variable crosswalk (LaTeX),Same as DA1,Same as DA1,Paper-ready table.
Main-paper candidates,figure_dm1_score_distribution_public_vs_private.png,Figure DM1. Distribution of empirical-driven score by public funding,Patent sample (300k random draws),"Benchmark score, public-funded flag",Tests whether public-funded patents differ in empirical-data intensity.
Main-paper candidates,figure_dm1_score_distribution_public_vs_private.pdf,Figure DM1. Distribution of empirical-driven score by public funding (PDF),Patent sample (300k random draws),"Benchmark score, public-funded flag",Vector format.
Main-paper candidates,figure_dm2_time_trends_public_private.png,Figure DM2. Time trends by public-funding status,Patent-year 1976-2022,Empirical share and benchmark means,Shows dynamic divergence/convergence across funding source.
Main-paper candidates,figure_dm2_time_trends_public_private.pdf,Figure DM2. Time trends by public-funding status (PDF),Patent-year 1976-2022,Empirical share and benchmark means,Vector format.
Main-paper candidates,figure_dm3_decile_relationships.png,Figure DM3. Paper-style outcomes across empirical-score deciles,All patents with benchmark score,"Science links, citations, breadth, public share",Connects empirical-driven innovation to impact/spillover proxies.
Main-paper candidates,figure_dm3_decile_relationships.pdf,Figure DM3. Paper-style outcomes across empirical-score deciles (PDF),All patents with benchmark score,"Science links, citations, breadth, public share",Vector format.
Main-paper candidates,figure_dm4_agency_leaders.png,Figure DM4. Agency heterogeneity in empirical-driven patenting,Public-funded patents (agencies with >=100 patents),Counts and empirical share,Identifies which agencies are most associated with empirical-driven innovation.
Main-paper candidates,figure_dm4_agency_leaders.pdf,Figure DM4. Agency heterogeneity in empirical-driven patenting (PDF),Public-funded patents (agencies with >=100 patents),Counts and empirical share,Vector format.
Main-paper candidates,figure_dm5_country_patterns.png,Figure DM5. Country pattern: public funding vs empirical intensity,"Countries with >=5,000 patents","Public-funded share, empirical share",Cross-country fact linking funding composition and empirical-driven innovation.
Main-paper candidates,figure_dm5_country_patterns.pdf,Figure DM5. Country pattern: public funding vs empirical intensity (PDF),"Countries with >=5,000 patents","Public-funded share, empirical share",Vector format.
Appendix descriptives,figure_da1_small_firm_citation_proxy.png,Figure DA1. Small-firm citation proxy by empirical decile,All patents with benchmark score,Small-firm citation share + coverage,Checks spillover distribution toward small firms under data constraints.
Appendix descriptives,figure_da1_small_firm_citation_proxy.pdf,Figure DA1. Small-firm citation proxy by empirical decile (PDF),All patents with benchmark score,Small-firm citation share + coverage,Vector format.
Appendix descriptives,figure_da2_cpc_ahead_proxy.png,Figure DA2. CPC ahead-of-time proxy by empirical intensity,All patents with benchmark score,Opens-new-field share and years-ahead mean,Shows novelty field-opening relation with empirical-driven score.
Appendix descriptives,figure_da2_cpc_ahead_proxy.pdf,Figure DA2. CPC ahead-of-time proxy by empirical intensity (PDF),All patents with benchmark score,Opens-new-field share and years-ahead mean,Vector format.
Appendix descriptives,figure_da3_country_trends_top.png,Figure DA3. Top-country empirical-driven trends,Top 8 countries by cumulative empirical-driven patents,Empirical-driven patent counts,Highlights geographic/time concentration.
Appendix descriptives,figure_da3_country_trends_top.pdf,Figure DA3. Top-country empirical-driven trends (PDF),Top 8 countries by cumulative empirical-driven patents,Empirical-driven patent counts,Vector format.
Appendix descriptives,figure_da4_science_forward_scatter.png,"Figure DA4. Science linkage, impact, and empirical score",250k patent sample,"Science share, forward citations, benchmark score","Triangulates fundamentalness, influence, and empirical-data intensity."
Appendix descriptives,figure_da4_science_forward_scatter.pdf,"Figure DA4. Science linkage, impact, and empirical score (PDF)",250k patent sample,"Science share, forward citations, benchmark score",Vector format.
